,_unit_id,_golden,_unit_state,_trusted_judgments,verify_relationship,verify_relationship:confidence,chemical_id,chemical_name,disease_id,disease_name,form_sentence,pmid,relation_pair_id,uniq_id
0,0,1,1,9,0,0.4463,737,38,545,1500,4591,20705401,2148,439
1,1,1,1,11,1,0.9181,667,178,573,1199,1408,2334179,2747,207
2,2,1,1,12,1,1.0,813,1500,760,493,2889,1535072,827,424
3,3,1,1,11,1,1.0,399,711,587,1285,5658,8492347,3551,111
4,4,1,1,9,1,0.8905,964,835,317,978,1475,15897593,964,250
5,5,1,1,15,1,1.0,456,805,363,1054,5628,10539815,87,278
6,6,1,1,14,1,1.0,173,1299,503,1403,1387,18006530,1546,211
7,7,1,1,11,0,0.828,34,613,363,1055,1386,15811908,920,482
8,8,1,1,10,0,0.6143,406,723,503,1406,868,9514561,3801,174
9,9,1,1,16,1,1.0,466,825,72,16,5550,8305357,3496,109
10,10,1,1,10,1,1.0,325,581,861,455,1267,11752998,353,282
11,11,1,1,9,0,0.8953,684,887,674,1290,3102,6892185,3273,133
12,12,1,1,12,1,1.0,194,1409,363,1054,3554,18201582,1580,243
13,13,1,1,10,0,0.6858,497,865,242,841,5569,8599504,3578,114
14,14,1,1,11,0,0.63,552,980,324,989,1459,6615052,3252,271
15,15,1,1,14,0,1.0,802,551,123,13,3437,11282081,252,154
16,16,1,1,20,0,1.0,493,859,169,690,2542,6540303,3251,535
17,17,1,1,11,0,0.7389,319,572,872,1679,5084,9067481,3706,240
18,18,1,1,8,0,1.0,858,809,787,1623,3457,16586083,1166,258
19,19,1,1,14,1,0.9297,321,574,794,776,1571,11078231,204,162
20,20,1,1,10,0,0.6957,779,1445,304,963,1902,8766220,3610,150
21,21,1,1,14,0,1.0,347,91,525,1446,62,1595783,992,293
22,22,1,1,14,1,1.0,875,1197,857,722,4765,8766220,3613,149
23,23,1,1,5,0,1.0,438,775,851,473,4245,20510337,2050,23
24,24,1,1,14,0,1.0,688,1233,309,290,645,3535719,3191,468
25,25,1,1,12,1,0.8426,678,414,363,1055,4684,6695415,3255,126
26,26,1,1,13,1,0.5225,352,620,372,1074,3695,11868798,389,59
27,27,1,1,10,1,0.7009,92,674,412,1185,1312,2257294,2581,252
28,28,1,1,9,0,0.7841,394,111,507,1616,2436,3131282,3182,215
29,29,1,1,11,1,0.9109999999999999,770,512,644,445,5428,3762968,3199,117
30,30,1,1,10,1,0.5825,483,850,866,1401,2803,12101159,474,488
31,31,1,1,14,0,1.0,724,462,622,1688,433,11999899,424,190
32,32,1,1,9,1,0.785,49,416,88,518,4226,11860495,388,280
33,33,1,1,14,1,1.0,380,673,511,1422,2268,33969,3187,187
34,34,1,1,9,1,0.8881,816,883,582,694,1049,2339463,2765,341
35,35,1,1,12,1,1.0,688,1234,387,1117,5523,3535719,3192,467
36,36,1,1,13,0,0.8612,495,59,166,684,4461,9952311,3926,78
37,37,1,1,10,0,0.6912,756,1389,401,1533,712,6699841,3261,492
38,38,1,1,4,0,0.7687,687,1227,575,1571,3703,9121607,3713,184
39,39,1,1,16,1,0.9386,319,1194,332,1766,915,7007443,3275,116
40,40,1,1,9,1,0.5319,846,367,571,1564,4139,20727411,2155,229
41,41,1,1,14,1,0.935,667,178,414,1470,760,8268147,3485,218
42,42,1,1,23,0,0.8279,716,1281,851,35,546,3653576,3193,151
43,43,1,1,18,0,0.9467,759,516,575,1571,478,19944736,1980,143
44,44,1,1,4,1,0.768,929,1355,543,1492,917,10328196,15,285
45,45,1,1,12,1,1.0,231,901,463,246,5562,19135948,1811,144
46,46,1,1,3,0,1.0,752,1382,869,1288,2410,12760988,593,277
47,47,1,1,7,1,0.7214,357,624,482,274,3344,9154656,3721,175
48,48,1,1,8,1,1.0,65,1128,378,1084,3380,6308526,3242,245
49,49,1,1,9,1,0.7725,10,672,222,129,589,8988571,3676,269
50,50,1,1,7,1,1.0,603,534,114,345,1507,3084782,3175,274
51,51,1,1,15,1,0.804,590,1056,623,1690,817,6794356,3264,268
52,52,1,1,12,0,1.0,55,658,605,515,1699,3057041,3172,537
53,53,1,1,10,0,0.8018,712,1275,551,357,3172,6115999,3227,505
54,54,1,1,14,0,0.722,505,583,141,616,2745,2894433,3169,204
55,55,1,1,11,1,0.5457,336,588,85,505,4278,11573852,331,11
56,56,1,1,16,0,0.9383,117,1479,771,387,668,8888541,3646,179
57,57,1,1,16,1,1.0,755,1429,421,1204,4355,6402369,3248,288
58,58,1,1,14,1,0.6576,552,980,609,1660,2888,11827497,376,256
59,59,1,1,10,1,0.8034,586,288,776,1343,2090,20533999,2077,232
60,60,1,1,13,0,1.0,884,660,339,1015,3353,15985056,998,386
61,61,1,1,12,1,0.8347,832,323,510,329,1534,20973483,2200,234
62,62,1,1,17,1,0.7156,853,700,585,1594,4757,12745515,591,172
63,63,1,1,7,0,0.8519,693,878,880,670,3271,15897593,963,247
64,64,1,1,9,0,1.0,396,708,109,1753,1052,18997632,1782,314
65,65,1,1,10,0,0.8918,620,1106,312,973,858,7785794,3339,196
66,66,1,1,9,0,1.0,495,861,315,666,3137,3137399,3183,224
67,67,1,1,10,1,0.902,890,906,477,1696,1208,12180796,486,54
68,68,1,1,12,0,0.5113,514,898,880,670,3272,15897593,962,248
69,69,1,1,13,0,0.9282,622,1110,339,1015,1572,15985056,997,391
70,70,1,1,9,0,1.0,617,1103,311,563,5543,10074612,1,155
71,71,1,1,11,1,0.8172,513,897,467,1310,3528,16563323,1159,380
72,72,1,1,13,0,1.0,112,138,308,970,3600,7596955,3298,177
73,73,1,1,8,0,1.0,95,1322,575,1571,4043,11524350,323,123
74,74,1,1,13,1,1.0,762,1416,360,1051,3598,20331935,2027,170
75,75,1,1,15,1,0.9384,433,759,86,7,3826,16428827,1128,384
76,76,1,1,2,0,1.0,508,1166,290,918,2862,19370593,1873,159
77,77,1,1,6,0,0.8284,429,756,652,818,708,1628552,1083,122
78,78,1,1,12,1,1.0,760,1397,146,623,2212,9672273,3840,410
79,79,1,1,21,1,1.0,700,1251,372,1074,2386,6942642,3274,549
80,80,0,1,1,0,1.0,684,887,674,1290,4067,6892185,3273,132
81,81,1,1,13,1,1.0,728,1313,625,1692,2839,804391,3400,294
82,82,1,1,9,1,1.0,543,967,141,617,5247,2917114,3170,327
83,83,1,1,16,1,1.0,444,785,467,1307,3093,6118280,3228,137
